id;num_client;nom_client;adresse_client;email_client;whats_client;obs_client;date_creation;actif
1;4975;âcre demain fade;inspirer;"y@sZcq.Kd2.cd9.9.n.OfE";toujours;../fake-data/blob/hipster.txt;2025-11-18T11:09:54;true
2;6857;présidence;lentement précisément;"EsPD_@IXHpuO.7.n-R56.IF7taM.a_e";favoriser;../fake-data/blob/hipster.txt;2025-11-17T20:32:31;true
3;29478;gigantesque;défier au-dessous au-dessus;"SruUZ@_XASa.kJ.9o9B.jJ";jusqu’à ce que;../fake-data/blob/hipster.txt;2025-11-18T06:40:48;false
4;3067;chez délégation à la merci;contraindre pratiquer;"Bd@X65YN.1.sU.fQBvR.vOhDB.G8blzI.5MFV";moyennant dring;../fake-data/blob/hipster.txt;2025-11-18T15:33:10;false
5;540;à l'égard de;cuicui;"BOP5Q@zxdZFM.b.DjIn.aU22.zo32";concernant parlement;../fake-data/blob/hipster.txt;2025-11-17T23:21:12;false
6;2018;plouf fourbe étant donné que;de touchant;"OhUhZd@a4lnOO.VWS._QJv.xoFXR.V4";concurrence oh;../fake-data/blob/hipster.txt;2025-11-18T05:17:31;false
7;31276;revêtir;pis;"_@O.Y9W.o.N.0.ZqX";svelte interdire;../fake-data/blob/hipster.txt;2025-11-18T09:35:26;false
8;10223;toc vu que;près de clac juriste;"g-@E8.Zc";circulaire gai d’aut;../fake-data/blob/hipster.txt;2025-11-18T04:43:47;false
9;28633;lors ranger areu areu;en face de;"8Mhetr@j6.f-.b2gYD.Zo.zWtRAG.b1";d'après ensemble lor;../fake-data/blob/hipster.txt;2025-11-18T02:57:10;true
10;28642;apprivoiser sage;gai en vérité;"1ujkXc@5Pw.ZpA.-.s-unje.2TC";autrement abandonner;../fake-data/blob/hipster.txt;2025-11-18T10:50:33;true
